no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
1,O)S2NC1=NC(=O)N(C=C1)[C@@H]2CO[C@H](C,NC1=NC(=O)N(C=C1)[C@H]2CO[C@@H](CO)S2,1.18,0.78,3,3.68,19.2,8.67,,,0.07,-0.11,0.48,0.57,1.28,0.94,,
2,O)S2O[C@@H]1C[C@@](C[C@@H](OC(=O)C=C,NC1=NC(=O)N(C=C1)[C@@H]2CO[C@H](CO)S2O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\C2=C,0.84,0.79,3.9,4.05,8.92,8.17,,,0.08,-0.10,0.59,0.61,0.95,0.91,,
3,C2=CC=C(O)C(=C2)O)[C@@H]1O)(OC(=O)C=CC3=CC=C(O)C(=C3)O)C(O)=OC[C@@H]1O[C@H](C[C@@H](O)[C@H]1O)O[C@@H]2[C@H](O)C[C@@H](O[C@H]2C)O[C@@H]3[C@H](O)C[C@@H](O[C@H]3C),C(=C(O)C=C2)O)[C@@H]1O)(OC(=O)\C=C/C3=CC(=C(O)C=C3)O)C([O-])=OC[C@@H]1O[C@@H](C[C@@H](O)[C@@H]1O)O[C@H]2[C@H](O)C[C@@H](O[C@H]2C)O[C@@H]3[C@@H](O)C[C@@H](O[C@H]3C)O[C@@H]4CC,0.79,1.01,8.7,13.11,1.37,1.43,,,0.10,0.00,0.94,1.12,0.14,0.16,,
4,O[C@@H]4CC[C@]5(C)[C@@H](CC[C@H]6[C@@H]5CC[C@]7(C)[C@H]([C@H](C[C@]67O)OC(C)=O)C8=CC(=O)OC8)C4,[C@]5(C)[C@@H](CC[C@H]6[C@@H]5CC[C@]7(C)[C@H]([C@H](C[C@]67O)OC(C)=O)C8=CC(=O)OC8)C4,0.78,0.98,0.18,0.35,51.6,36.06,0.07,0.10,0.11,-0.01,-0.74,-0.45,1.71,1.56,-1.15,-1.02
5,NC1(CC1)C(O)=OO[C@@H]1C[C@](O)(C[C@@H](OC(=O)C=,[NH3+]C1(CC1)C([O-])=OO[C@H]1C[C@@](O)(C[C@@H](OC(=O)\C=C\C2=,0.73,0.50,1.5,2.02,5.9,4.52,,,0.14,-0.30,0.18,0.31,0.77,0.66,,
6,CC2=CC(=C(O)C=C2)O)[C@@H]1OC(=O)C=CC3=CC(=C(O)C=C3)O)C(O)=OO[C@H]1[C@@H](C[C@@](O)(C[C@H]1OC,CC(=C(O)C=C2)O)[C@@H]1OC(=O)\C=C/C3=CC(=C(O)C=C3)O)C([O-])=OOC1[C@@H](CC(O)(C[C@H]1OC(=O)\C=C\C2=CC(,0.63,0.79,34.58,23.49,0.57,0.96,,,0.20,-0.10,1.54,1.37,-0.24,-0.02,,
7,(=O)C=CC2=CC=C(O)C(=C2)O)C(O)=O)OC(=O)C=CC3=CC=C(O)C(=C3)OC[C@@H](N)[C@H]1CC[C@@H](N)[C@H](,=C(O)C=C2)O)C([O-])=O)OC(=O)\C=C\C3=CC(=C(O)C=C3)OC[C@@H]([NH3+])[C@H]1CC[C@@H]([NH3+])[C,4.82,1.43,75.81,29.77,3.17,2.05,,,0.68,0.16,1.88,1.47,0.50,0.31,,
8,O1)O[C@@H]2[C@@H](N)[C@@H](O)[C@@H](O)[C@H]([C@H]2O)N(C)C(=O)CNCC(C)N(CC[C@H](C1=CC=CC=C1)C2=CC(=,@H](O1)O[C@@H]2[C@@H]([NH3+])[C@@H](O)[C@@H](O)[C@H]([C@H]2O)N(C)C(=O)C[NH3+]CC(C)[NH+](CC[C@H](C1=CC=CC=C1)C2=C(O)C=,0.27,0.34,1.37,1.47,2.9,3.24,,,0.57,-0.47,0.14,0.17,0.46,0.51,,
9,CC=C2O)CO)C(C)CCCC1=NC2=C(N)N=C3C=CC=CC3=C2[N]1C,CC(=C2)CO)C(C)CCCC1=NC2=C([N]1CCCCN[S](C)(=O)=O)C3=CC=C,2.41,1.91,,,,,0.5,0.27,0.38,0.28,,,,,-0.30,-0.57
10,CCCN[S](C)(=O)=ONC1=NC(=C2N=C[N]([C@@H]3C[C@H](CO,C=C3N=C2NNC1=NC2=C(N=C[N]2[C@@H]3C[C@H](CO)C=C3),3.1,2.46,7.7,5.44,7.1,3.89,,,0.49,0.39,0.89,0.74,0.85,0.59,,
